City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,meadow lakes,61.6247,-149.6011,57.9,92,100,0.0,US,1720465098
182,kandyagash,49.4744,57.4233,77.18,56,99,4.94,KZ,1720465100
183,kangding,30.0513,101.9603,64.4,100,100,2.95,CN,1720465101
184,playa blanca,28.8643,-13.8281,75.4,75,0,17.94,ES,1720465102
185,mitu,1.1983,-70.1733,84.63,65,89,2.15,CO,1720465104
186,lospalos,-8.5186,127.0025,70.66,93,100,8.9,TL,1720465105
187,zeya,53.75,127.2667,56.03,64,0,6.35,RU,1720465106
188,raduzhny,62.0961,77.475,58.05,60,0,6.89,RU,1720465107
189,hammerfest,70.6634,23.6821,50.45,81,75,11.5,NO,1720464817
190,basco,20.4487,121.9702,84.02,76,99,10.58,PH,1720465109
191,hawaiian paradise park,19.5933,-154.9731,78.87,79,97,1.99,US,1720465111
192,haiku-pauwela,20.9219,-156.3051,80.26,71,40,12.66,US,1720465112
193,nizhnesortymskiy,62.4397,71.7603,62.04,66,12,8.95,RU,1720465113
194,san patricio,28.017,-97.5169,93.16,41,32,9.08,US,1720465114
195,kavaratti,10.5669,72.642,81.77,83,100,20.62,IN,1720465115
196,usinsk,65.9939,57.5281,62.74,56,64,5.39,RU,1720465117
197,biltine,14.5333,20.9167,92.32,32,100,7.61,TD,1720465118
198,papao,-17.75,-149.55,80.28,77,7,17.2,PF,1720465119
199,keflavik,64.0049,-22.5624,52.23,71,75,9.22,IS,1720465120
200,puerto santa,-8.9906,-78.6456,68.36,78,58,13.71,PE,1720465121
201,lagos,6.5833,3.75,79.12,91,100,4.88,NG,1720464841
202,bayganin,48.6947,55.8742,81.39,44,5,7.36,KZ,1720465124
203,bajil,15.0584,43.2851,91.38,47,25,13.58,YE,1720465125
204,umluj,25.0213,37.2685,89.35,47,9,5.35,SA,1720465126
205,marsabit,2.3284,37.9899,70.81,62,90,4.79,KE,1720465127
206,enewetak,11.3474,162.3373,83.59,74,9,16.51,MH,1720465128
207,port mathurin,-19.6833,63.4167,73.18,77,89,5.17,MU,1720465130
208,vila velha,-20.3297,-40.2925,82.35,75,20,13.8,BR,1720465131
209,arroyo seco,-33.1549,-60.5086,50.02,10,0,4.65,AR,1720465132
210,constitucion,-35.3333,-72.4167,54.25,49,0,10.65,CL,1720465133
211,ulladulla,-35.35,150.4667,54.68,93,100,6.78,AU,1720465134
212,coquimbo,-29.9533,-71.3436,58.98,61,40,8.05,CL,1720465137
213,anadyr,64.75,177.4833,46.9,100,100,11.18,RU,1720465138
214,crateus,-5.1783,-40.6775,86.07,44,95,6.91,BR,1720465139
215,bac lieu,9.285,105.7244,80.94,83,100,2.71,VN,1720465140
216,puerto baquerizo moreno,-0.9,-89.6,76.19,88,75,10.36,EC,1720465141
217,mogocha,53.7333,119.7667,59.83,60,20,1.16,RU,1720465143
218,karachi,24.9056,67.0822,85.82,74,75,0.0,PK,1720465144
219,vavuniya,8.7514,80.4971,79.54,77,100,7.38,LK,1720465145
220,remontnoye,46.5614,43.6501,88.43,29,49,17.27,RU,1720465146
221,canto do buriti,-8.11,-42.9444,93.88,22,3,10.0,BR,1720465147
222,bereznik,62.8551,42.7072,70.18,72,53,4.81,RU,1720465148
223,san miguel canoa,19.15,-98.0833,69.98,36,92,2.53,MX,1720465150
224,yung shue wan,22.2333,114.1167,85.75,81,100,1.01,HK,1720465151
225,tazovsky,67.4667,78.7,50.94,75,5,11.01,RU,1720465152
226,qui nhon,13.7667,109.2333,78.22,88,100,4.59,VN,1720465153
227,centerville,39.6284,-84.1594,89.38,54,75,6.91,US,1720465154
228,cole harbour,44.6724,-63.4751,78.19,80,40,10.36,CA,1720465156
229,hadibu,12.65,54.0333,79.7,80,70,17.29,YE,1720465157
230,fale old settlement,-9.3852,-171.2468,83.26,79,97,22.03,TK,1720464798
231,zaozersk,69.4005,32.4476,61.27,74,0,10.45,RU,1720465159
232,santa eularia des riu,38.9846,1.5341,79.3,79,0,6.91,ES,1720465160
233,guerrero negro,27.9769,-114.0611,74.8,66,1,16.84,MX,1720465161
234,nizhniy odes,63.6445,54.856,69.6,75,72,2.08,RU,1720465163
235,ulety,51.3572,112.4849,61.43,76,51,1.68,RU,1720465164
236,hobyo,5.3505,48.5268,77.95,82,48,29.26,SO,1720465165
237,igarka,67.4667,86.5833,55.9,68,100,9.8,RU,1720464662
238,conduaga,8.862,117.4893,78.6,88,100,2.93,PH,1720465167
